Symbol	h1u0auto	h1u10auto	h1u100auto	h1u500auto
symb3master_429	0.00	0.00	0.00	0.00
symb3master_430	11.00	11.57	11.13	11.46
symb3master_431	15.51	12.71	12.38	12.32
symb3master_432	11.02	12.04	12.07	13.82
symb3master_433	156.92	160.57	156.25	177.13
symb3master_434	18.38	18.12	19.02	19.75
symb3master_435	18.82	17.62	15.89	14.56
symb3master_437	23.78	23.45	25.00	22.35
symb3master_438	20.27	22.93	25.29	23.39
symb3master_439	31.77	34.99	34.59	37.85
symb3master_440	40.03	36.05	37.54	35.02
symb3master_441	4.35	4.32	4.66	4.56
symb3master_442	13.59	14.65	14.20	14.92
symb3master_443	7.30	5.50	4.85	5.15
symb3master_444	15.29	15.40	15.06	18.42
symb3master_445	16.06	16.92	19.66	16.73
symb3master_446	19.70	18.20	19.40	20.16
symb3master_447	2.71	2.54	2.37	2.34
symb3master_448	11.46	13.44	12.74	14.03
symb3master_449	10.91	12.11	12.41	11.71
symb3master_450	43.52	41.10	39.99	36.76
symb3master_451	16.08	16.05	17.01	18.45
symb3master_452	16.37	16.72	16.70	18.77
symb3master_453	11.66	11.31	10.99	10.81
symb3master_454	2.15	2.75	2.32	2.33
symb3master_455	64.08	49.20	55.85	47.81
symb3master_456	23.91	27.17	26.50	22.16
symb3master_457	19.46	21.98	21.90	22.39
symb3master_458	10.74	11.16	11.00	12.09
symb3master_459	24.37	24.60	25.94	26.89
symb3master_460	37.36	36.85	32.22	31.01
symb3master_461	35.21	31.85	33.36	30.73
symb3master_462	30.62	28.87	25.05	25.76
symb3master_463	11.86	12.93	13.11	15.47
symb3master_464	92.35	151.00	100.95	85.35
symb3master_466	19.60	20.83	20.60	19.12
symb3master_467	64.90	61.41	60.89	54.72
symb3master_468	2.53	2.87	2.52	2.20
symb3master_469	21.73	22.34	22.44	26.16
symb3master_470	8.82	8.07	7.48	8.69
symb3master_471	128.07	144.93	141.90	146.91
symb3master_472	23.75	25.76	26.53	30.50
symb3master_473	4.65	3.59	2.74	4.21
symb3master_474	10.71	10.95	11.42	12.69
symb3master_475	12.79	12.74	14.25	11.26
symb3master_476	28.54	29.37	29.41	33.29
symb3master_477	5.54	5.57	5.92	5.62
symb3master_478	58.05	65.95	66.76	67.34
symb3master_479	1.26	1.12	1.23	1.36
symb3master_480	13.59	12.75	12.16	15.46
symb3master_481	10.43	10.77	11.65	11.93
symb3master_482	8.54	8.60	9.00	9.68
symb3master_483	15.23	10.51	10.33	8.42
symb3master_484	29.31	28.98	31.33	31.86
symb3master_485	35.97	36.84	38.28	42.52
symb3master_486	33.64	33.01	30.98	31.53
symb3master_487	59.99	58.57	58.95	55.89
symb3master_488	160.47	148.47	169.63	166.32
symb3master_489	206.14	184.93	181.18	183.82
symb3master_490	8.19	8.05	7.43	8.13
symb3master_491	114.65	117.28	125.36	122.94
symb3master_492	4.02	4.45	4.45	4.81
symb3master_493	1.30	1.36	1.79	1.94
symb3master_494	2.66	2.93	2.82	2.58
symb3master_495	10.43	11.71	10.65	12.39
symb3master_496	12.67	12.82	11.71	13.44
symb3master_497	3.67	4.03	3.75	3.97
symb3master_498	2.77	3.46	3.50	3.74
symb3master_499	9.11	9.45	9.85	11.13
symb3master_500	236.75	239.02	220.42	227.66
symb3master_501	8.79	8.89	9.07	8.76
symb3master_502	17.67	15.79	16.12	19.76
symb3master_503	81.31	81.14	76.73	73.24
symb3master_504	10.28	10.88	11.27	12.33
symb3master_505	14.12	14.79	14.80	16.41
symb3master_506	13.39	12.68	13.64	13.28
symb3master_507	15.23	15.49	14.46	18.16
symb3master_508	11.49	11.90	12.23	11.45
symb3master_509	15.92	12.83	13.18	12.17
symb3master_510	7.85	8.58	8.56	9.41
symb3master_511	18.03	15.95	17.10	13.29
symb3master_512	1.13	1.20	1.14	0.90
symb3master_513	20.20	20.78	21.68	23.44
symb3master_514	12.41	10.69	11.65	11.60
symb3master_515	65.80	70.69	68.95	84.42
symb3master_516	13.07	11.80	10.47	10.45
symb3master_517	24.44	25.67	26.36	27.23
symb3master_518	24.47	22.02	22.37	20.46
symb3master_519	6.75	5.90	6.44	5.73
symb3master_521	1.23	0.71	0.61	0.91
symb3master_522	13.61	15.20	14.36	15.61
symb3master_523	23.92	23.01	23.35	24.66
symb3master_524	16.53	17.54	16.38	17.81
symb3master_525	6.80	6.26	7.32	5.25
symb3master_526	7.08	6.62	6.86	7.42
symb3master_527	35.81	35.64	38.03	38.64
symb3master_528	35.77	34.50	33.61	32.27
symb3master_529	3.19	3.26	3.66	3.37
symb3master_530	3.94	4.85	4.16	4.93
symb3master_531	26.82	24.52	26.52	24.69
symb3master_532	8.26	7.22	6.57	5.52
symb3master_533	10.68	10.31	10.05	11.99
symb3master_534	17.36	17.76	17.13	21.63
symb3master_535	185.89	179.42	171.31	159.60
symb3master_536	29.50	29.24	27.66	28.57
symb3master_537	9.94	12.18	11.96	12.62
symb3master_538	27.21	25.43	26.37	27.79
symb3master_539	25.24	25.43	25.43	25.93
symb3master_540	11.76	12.56	12.61	13.33
symb3master_541	15.02	16.68	17.04	18.67
symb3master_543	8.63	7.18	7.65	6.36
symb3master_544	19.36	21.06	19.66	22.27
symb3master_545	16.19	18.56	18.84	18.25
symb3master_546	15.82	16.07	10.84	12.96
symb3master_547	52.24	55.05	53.42	51.91
symb3master_548	11.46	10.39	11.16	10.36
symb3master_549	16.60	14.21	15.52	13.29
symb3master_550	23.69	24.41	22.73	21.29
symb3master_551	13.83	13.33	16.34	12.75
symb3master_552	22.68	25.82	24.00	26.65
symb3master_553	11.76	13.94	13.73	15.20
symb3master_554	43.65	48.03	50.71	48.41
symb3master_555	45.98	44.80	43.89	42.21
symb3master_556	16.27	16.64	16.14	16.91
symb3master_557	7.12	8.39	8.09	8.20
symb3master_558	5.81	6.04	6.52	5.96
symb3master_559	15.25	16.09	15.85	18.67
symb3master_560	12.48	12.73	12.88	13.01
